#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	WGS	CODE	Comment	PubmedIDs	External link	UniProt
Neisseria meningitidis	350	Neisseria meningitidis MC58	NC_003112.2	AE002098.2				FGS/MOD/UPR	N. meningitidis Serogroup B Strain MC58 was isolated from a case of invasive infection in the UK. It has been widely used in virulence studies and vaccine development. Serogroup B strains are major causes of bacterial meningitis in Europe and the United States. Unlike other serogroups, the capsular polysaccharide of serogroup B N. meningitidis is poorly immunogenic in humans. Currently, there is no effective vaccine available for serogroup B N. meningitidis.	10710307	http://gbrowse2.biology.gatech.edu/cgi-bin/home.cgi (Neisseria Base)	UP000000425
Peptoclostridium difficile	266	Peptoclostridium difficile 630	NC_009089.1	AM180355.1	NC_008226.1	AM180356.1		CLI/FGS/MOD/UPR	Clostridium difficile is the major causative agent of pseudomembranous colitis (PMC) and diarrhea that may occur following antibiotic treatment. C. difficile infection represents one of the most common nosocomial infections. Clostridium difficile 630 is a fully virulent, highly transmissible, multi-drug resistant strain. It was originally isolated from a patient with severe PMC that had spread to other patients. This strain has been well characterized in laboratories.	16804543,21349987,24568651		UP000001978
Prochlorococcus marinus	36	Prochlorococcus marinus subsp. marinus str. CCMP1375	NC_005042.1	AE017126.1				FGS/PHY/TYS/UPR	As the dominant photosynthetic organism in the ocean, Prochlorococcus marinus contributes heavily to carbon cycling in the marine environment. Analyses of the genomic sequence of Prochlorococcus marinus subsp. marinus str. CCMP1375 demonstrated a reduced genome.	12917486		UP000001420
Pseudomonas aeruginosa	1238	Pseudomonas aeruginosa PAO1	NC_002516.2	AE004091.2				CLI/FGS/LAB/MOD/UPR	Pseudomonas aeruginosa is an opportunistic human pathogen with intrinsic resistance to antibiotics and disinfectants. P. aeruginosa PAO1 is a laboratory reference strain originally isolated from an infected wound of a patient. 	10984043,15608211,18978025	http://www.pseudomonas.com/ (Pseudomonas genome database)	UP000002438
Pseudomonas putida	52	Pseudomonas putida KT2440	NC_002947.3	AE015451.1				COM/UPR	Pseudomonas putida is a non-pathogenic bacterium. It can be used in agriculture, biocatalysis, bioremediation and bioplastic production.	12534463		UP000000556
Pseudomonas syringae	127	Pseudomonas syringae pv. syringae B728a	NC_007005.1	CP000075.1				COM	Pseudomonas syringae is a widespread plant pathogen. Pseudomonas syringae pv. Syringae B728a is commonly used in genetic studies of this species. 	16043691		UP000000426
Pseudomonas syringae group genomosp. 3	27	Pseudomonas syringae pv. tomato str. DC3000	NC_004578.1	AE016853.1	NC_004632.1,NC_004633.1	AE016854.1,AE016855.1		COM/UPR	Pseudomonas syringae pv. tomato is an important Arabidopsis and tomato pathogen.	12928499		UP000002515
Rhodobacter sphaeroides	7	Rhodobacter sphaeroides 2.4.1	NC_007494.2,NC_007493.2	CP000144.2,CP000143.2	NC_009007.1,NC_009008.1,NC_007489.1,NC_007488.2,NC_007490.2	DQ232586.1,DQ232587.1,CP000146.1,CP000145.2,CP000147.2		PRT/UPR	Rhodobacter sphaeroides is the most extensively studied bacteria with regards to its photosynthetic capabilities which includes the structure, function and regulation of its photosynthetic membranes, its mechanisms of CO2 and nitrogen fixation, cytochrome diversity and its electron transport systems. The genome of R. sphaeroides 2.4.1 has recently been re-sequenced and re-annotated and used as a reference genome in genomic studies of R. sphaeroides.	17172323,23209255		UP000002703
Rhodopirellula baltica	4	Rhodopirellula baltica SH 1	NC_005027.1	BX119912.1				QfO/UPR	Rhodopirellula baltica is a marine model organism with global distribution. Rhodopirellula baltica SH 1 is the type strain and its genomic sequence was used to study the lifestyle and adaption evolution in the marine environment.	12835416,19725962		UP000001025
Rhodospirillum rubrum	2	Rhodospirillum rubrum ATCC 11170	NC_007643.1	CP000230.1	NC_007641.1	CP000231.1		TYS/UPR	Rhodospirillum rubrum is an anoxygenic phototrophic bacterium that does not produce oxygen, but instead produces extracellular elemental sulfur when harvesting light energy. R. rubrum ATCC 11170 is the type strain of R. rubrum, which is the type species of the genus Rhodospirillum.	21886856		UP000001929
Rickettsia prowazekii	12	Rickettsia prowazekii str. Madrid E	NC_000963.1	AJ235269.1				CLI/FGS/MOD/UPR	Rickettsia prowazekii is the causative agent of epidemic typhus, a louse-borne disease. Rickettsia prowazekii str. Madrid E was originally isolated from a patient who died of epidemic typhus in 1941 in Madrid, Spain.	9823893		UP000002480
Salinibacter ruber	2	Salinibacter ruber DSM 13855	NC_007677.1	CP000159.1	NC_007678.1	CP000160.1		FGS/TYS/UPR	Salinibacter ruber is an extremely halophilic bacterium, which grows optimally with halophilic archaea under saline conditions. S. ruber DSM 13855 is the type strain isolated from saltern crystallizer ponds in Spain. Genomic analyses of S. ruber DSM 13855 provide insights into its evolution, adaption to hypersalinity, and interaction with halophilic archaea. 	16330755		UP000008674
Salmonella enterica	4050	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NC_003198.1	AL513382.1	NC_003385.1,NC_003384.1	AL513384.1,AL513383.1		CLI	Salmonella enterica subsp. enterica serovar Typhi str. CT18 is a highly pathogenic, multiple drug resistant strain isolated from a typhoid patient in Vietnam. 	11677608		UP000000541
Salmonella enterica	4050	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	NC_003197.1	AE006468.1	NC_003277.1	AE006471.1		CLI/MOD/PRT/TYS/UPR	S. enterica serovar Typhimurium has been the main cause of gastroenteritis globally for many years. S. enterica serovar Typhimurium strain LT2 (Lilleengen type 2) was originally isolated in Sweden in the 1940s by Lilleengen. It has been widely used in genetic and molecular biology studies of Salmonella. It was also used as a mouse model in the study of human typhoid fever.	11677609	http://www.salmonella.org/genomics/ (Salmonella genomics)	UP000001014
Shewanella oneidensis	1	Shewanella oneidensis MR-1	NC_004347.2	AE014299.2	NC_004349.1	AE014300.1		MOD/PRT/TYS/UPR	Shewanella oneidensis is a metal ion?reducing bacterium, which is capable of using a wide variety of terminal electron acceptors during anaerobic respiration. Given that S. oneidensis can directly reduce uranium and chromium from the dissolved liquid state to insoluble oxides, it is used as an important model organism in bioremediation research. S. oneidensis MR-1 is the type strain and widely used in research.	12368813,16038018,18378659,21810203		UP000008186
Shigella dysenteriae	16	Shigella dysenteriae Sd197	NC_007606.1	CP000034.1	NC_009344.1,NC_007607.1	CP000640.1,CP000035.1		CLI/UPR	Shigella dysenteriae is the major cause of bacillary dysentery. S. dysenteriae Sd197 was isolated from epidemics in China during the 1950. 	16275786		UP000002716
Shigella flexneri	120	Shigella flexneri 2a str. 301	NC_004337.2	AE005674.2	NC_004851.1	AF386526.1		CLI/FGS	Shigella flexneri is causative agent of diarrhea and dysentery in humans. S. flexneri serotype 2a is the most prevalent serotype causing bacillary dysentery and shigellosis in humans. S. flexneri 2a str. 301 was isolated from a shigellosis patient in China in 1984. 	12384590		UP000001006
Sinorhizobium fredii	11	Sinorhizobium fredii NGR234	NC_012587.1	CP001389.1	NC_012586.1,NC_000914.2	CP000874.1,U00090.2		COM/FGS/UPR	Sinorhizobium fredii is an important nitrogen fixing-bacterium. This is the first genomic sequence of S. fredii.	19376903		UP000001054
Sinorhizobium medicae	5	Sinorhizobium medicae WSM419	NC_009636.1	CP000738.1	NC_009622.1,NC_009620.1,NC_009621.1	CP000741.1,CP000739.1,CP000740.1		COM	Sinorhizobium medicae is an important nitrogen fixing-bacterium.	21304680		UP000001108
Sinorhizobium meliloti	31	Sinorhizobium meliloti 1021	NC_003047.1	AL591688.1	NC_003037.1,NC_003078.1	AE006469.1,AL591985.1		COM/UPR	Sinorhizobium meliloti is an important nitrogen fixing-bacterium.	11481430		UP000001976
Staphylococcus aureus	5526	Staphylococcus aureus subsp. aureus NCTC 8325	NC_007795.1	CP000253.1				CLI/MOD/UPR	Staphylococcus aureus is an opportunistic pathogen and the major cause nosocomial and community-acquired infections. S. aureus subsp. aureus NCTC 8325 was isolated from from a sepsis patient in 1960. Strain 8325 is used as the prototypical strain in all genetic manipulation.	12036589		UP000008816
Staphylococcus epidermidis	291	Staphylococcus epidermidis ATCC 12228	NC_004461.1	AE015929.1	NC_005007.1,NC_005008.1,NC_005003.1,NC_005006.1,NC_005005.1,NC_005004.1	AE015931.1,AE015930.1,AE015935.1,AE015932.1,AE015933.1,AE015934.1		COM	This strain is a non-biofilm-forming, non-infection associated strain used for detection of residual antibiotics in food products	12950922		UP000001411
Streptococcus agalactiae	626	Streptococcus agalactiae 2603V/R	NC_004116.1	AE009948.1				CLI/COM/UPR	Streptococcus agalactiae is an emerging human pathogen and the most common type of serotype B.	12200547		UP000000821
Streptococcus mitis	45	Streptococcus mitis B6	NC_013853.1	FN568063.1				CLI/COM	Streptococcus mitis is the closest relative of the major human pathogen S. pneumoniae. The 2,15 Mb sequence of the Streptococcus mitis B6 chromosome, an unusually high-level beta-lactam resistant and multiple antibiotic resistant strain	20195536		UP000008563
Streptococcus mutans	169	Streptococcus mutans UA159	NC_004350.2	AE014133.2				CLI/COM/UPR	Streptococcus mutans is a cariogenic dental pathogen.	12397186		UP000002512
Streptococcus pneumoniae	4864	Streptococcus pneumoniae R6	NC_003098.1	AE007317.1				LAB/MOD/UPR	Streptococcus pneumoniae is a member of the normal human nasopharyngeal flora. This organism is also the most common cause of sinusitis. While S. pneumoniae R6 is avirulent, it is widely used in genetic studies because of its highly transformable characteristic. 	11544234		UP000000586
Streptococcus pyogenes	262	Streptococcus pyogenes M1 GAS	NC_002737.2	AE004092.2				COM/PRT/UPR	GAS serves as a model pathogen for studying the evolutionary genomics of epidemic disease	11296296		UP000000750
Streptococcus sanguinis	28	Streptococcus sanguinis SK36	NC_009009.1	CP000387.1				COM/MOD	This strain was isolated from human dental plaque in 1980 and is virulent in a rat model.	17277061		UP000002148
Streptococcus suis	482	Streptococcus suis 05ZYH33		CP000407.1				COM/UPR	Streptococcus suis usually causes disease in pigs and occasionally humans.	17375201		UP000000243
Streptococcus suis	482	Streptococcus suis BM407	NC_012926.1	FM252032.1	NC_012923.1	FM252033.1		CLI	Streptococcus suis is a zoonotic pathogen causing a number of diseases including meningitis, arthritis and pneumonia in pigs. Occasionally, S. suis can infect humans causing septicemia, meningitis and endocarditis. S. suis BM407 was isolated from the CSF of a patient with in Vietnam in 2004. 	19603075		UP000009077
Streptomyces coelicolor	1	Streptomyces coelicolor A3(2)	NC_003888.3	AL645882.2	NC_003904.1,NC_003903.1	AL645771.1,AL589148.1		MOD/UPR	Streptomyces coelicolor is a soil-dwelling filamentous bacterium responsible for producing more than half of the known natural antibiotics. S. coelicolor A3(2) is genetically the best known representative of the Streptomyces genus. 	8843436,12000953		UP000001973
Thermanaerovibrio acidaminovorans	1	Thermanaerovibrio acidaminovorans DSM 6589	NC_013522.1	CP001818.1				PHY/TYS/UPR	Thermanaerovibrio acidaminovorans is able to ferment amino acids and carbohydrates. T. acidaminovorans DSM 6589 is the type strain and of phylogenetic interest because of the very isolated location of the novel phylum Synergistetes.	21304665		UP000002030
Thermodesulfovibrio yellowstonii	1	Thermodesulfovibrio yellowstonii DSM 11347	NC_011296.1	CP001147.1				TYS/UPR	Thermodesulfovibrio yellowstonii is a thermophilic sulfate-reducing bacterium isolated from a thermal vent water in Yellowstone Lake, USA. It has the ability to use sulfate, thiosulfate, and sulfite as terminal electron acceptors. T. yellowstonii DSM 11347 is the type strain. 	11541228		UP000000718
Thermosynechococcus elongatus	1	Thermosynechococcus elongatus BP-1	NC_004113.1	BA000039.2				MOD/UPR	Thermosynechococcus elongatus is a thermophilic cyanobacterium. This organism is readily transformable making it useful for molecular analyses. T. elongatus BP-1 was originally isolated from a hot spring in Japan. 	12240834		UP000000440
Thermotoga maritima	6	Thermotoga maritima MSB8	NC_000853.1	AE000512.1				TYS/UPR	Thermotoga maritima is a hyperthermophile with an optimum growth temperature of 80 0C. The type strain T. maritima MSB8 was isolated from geothermal heated marine sediment at Vulcano, Italy. 	10360571		UP000008183
Thermus thermophilus	5	Thermus thermophilus HB8	NC_006461.1	AP008226.1	NC_006462.1,NC_006463.1	AP008227.1,AP008228.1		MOD/TYS/UPR	Thermus thermophilus is an extremely thermophilic bacterium, which grows optimally between 65 and 72 C. The type strain T. thermophilus HB8 was isolated from a hot spring in Japan and is one of the model organisms for systems biology studies. 	15064768		UP000000532
Treponema denticola	17	Treponema denticola ATCC 35405	NC_002967.9	AE017226.1				TYS/UPR	Treponema denticola is an important periodontal pathogen. Treponema denticola ATCC 35405 was isolated from a human periodontal pocket and is the type strain of this organism			UP000008212
Vibrio cholerae	491	Vibrio cholerae O1 biovar El Tor str. N16961	NC_002506.1,NC_002505.1	AE003853.1,AE003852.1				CLI/FGS/UPR	Vibrio cholerae is the causative agent of cholera. The virulent strain V. cholerae O1 biovar El Tor str. N16961 was isolated from the stool of a cholera patient in Bangladesh in 1971 and has been widely used in biological studies.	10952301		UP000000584
Aliivibrio fischeri	7	Vibrio fischeri ES114	NC_006841.2,NC_006840.2	CP000021.2,CP000020.2	NC_006842.1	CP000022.1		CLI/FGS/MOD/UPR	Vibrio fischeri is a non-pathogenic bacterium primarily found in marine environments. V. fischeri is closely related to the pathogenic Vibrio cholera and symbiotically associated with squid and fish. V. fischeri is a model organism for studying the mutualistic association between microbes and animals.	15703294,18366731		UP000000537
Vibrio parahaemolyticus	402	Vibrio parahaemolyticus RIMD 2210633	NC_004605.1,NC_004603.1	BA000032.2,BA000031.2				CLI/COM/FGS/UPR	Vibrio parahaemolyticus is a worldwide cause of food-borne gastroenteritis; a pathogenic mechanism distinct from that of V cholerae.	10834969,12620739		UP000002493
Xanthomonas campestris	42	Xanthomonas campestris pv. campestris str. ATCC 33913	NC_003902.1	AE008922.1				FGS/TYS/UPR	Xanthomonas campestris is a major cause of black rot in crucifers, a disease that results in massive tissue degeneration. The type strain was isolated from cabbage in the UK.	12024217		UP000001010
Yersinia enterocolitica	142	Yersinia enterocolitica subsp. enterocolitica 8081	NC_008800.1	AM286415.1	NC_008791.1	AM286416.1		CLI/MOD/PRT	Y. enterocolitica 8081 was originally isolated from a patient suffering from septicemia. It is highly pathogenic in the murine yersiniosis infection model, and has been widely studied.	12834539,17173484	http://www.sanger.ac.uk/resources/downloads/bacteria/yersinia.html (Yersinia Genome Database)	UP000000642
Yersinia pestis	277	Yersinia pestis CO92	NC_003143.1	AL590842.1	NC_003134.1,NC_003131.1,NC_003132.1	AL117211.1,AL117189.1,AL109969.1		CLI/MOD/PRT/UPR	Y. pestis strain CO92 is a clinical isolate from Colorado, USA. Due to its full virulence, Y. pestis strain CO92 has been widely used in biomedical research and biological warfare.	11586360,12834539	http://www.sanger.ac.uk/resources/downloads/bacteria/yersinia.html (Yersinia Genome Database)	UP000000815
