#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Methanoregula formicica SMSP","SMSP",22038,SAMN02232038 ,PRJNA63567,"Euryarchaeota","Methanomicrobia",GCA_000327485.1 ,2.82086,55.2,chromosome:NC_019943.1/CP003167.1,-,1,2856,2770,2012/12/21,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000327485.1_ASM32748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000327485.1_ASM32748v1
"Streptomyces cattleya NRRL 8057 = DSM 46488","DSM 46488",20917,SAMN02603879 ,PRJNA78941,"Actinobacteria","Actinobacteria",GCA_000240165.1 ,8.09552,72.9896,chromosome:NC_017586.1/CP003219.1; plasmid pSCATT:NC_017585.1/CP003229.1,-,2,7098,6949,2011/12/27,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000240165.1_ASM24016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000240165.1_ASM24016v1
"Desulfosporosinus orientis DSM 765","DSM 765",20253,SAMN02261424 ,PRJNA66191,"Firmicutes","Clostridia",GCA_000235605.1 ,5.86308,42.9,chromosome:NC_016584.1/CP003108.1,-,1,5428,5244,2011/11/16,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000235605.1_ASM23560v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000235605.1_ASM23560v1
"Dehalobacter restrictus DSM 9455","PER-K23; DSM 9455",21297,SAMN02769648 ,PRJNA66209,"Firmicutes","Clostridia",GCA_000512895.1 ,2.94334,44.6,chromosome:NZ_CP007033.1/CP007033.1,-,1,2807,2645,2014/01/03,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000512895.1_ASM51289v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000512895.1_ASM51289v1
"Neorhizobium galegae bv. orientalis str. HAMBI 540","HAMBI 540",21135,SAMEA3139073 ,PRJEB1950,"Proteobacteria","Alphaproteobacteria",GCA_000731315.1 ,6.45503,61.248,chromosome I:NZ_HG938353.1/HG938353.1; plasmid II:NZ_HG938354.1/HG938354.1,-,2,6185,6009,2014/06/25,2015/08/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000731315.1_RG540_Ch_pA,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000731315.1_RG540_Ch_pA
"Clostridium saccharoperbutylacetonicum N1-4(HMT)","N1-4(HMT)",21907,SAMN02603265 ,PRJNA60605,"Firmicutes","Clostridia",GCA_000340885.1 ,6.66645,29.498,chromosome:NC_020291.1/CP004121.1; plasmid Csp_135p:NC_020292.1/CP004122.1,-,2,5784,5649,2013/02/19,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000340885.1_ASM34088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000340885.1_ASM34088v1
"Methanoplanus limicola DSM 2279","DSM 2279",20469,SAMN02261391 ,PRJNA61291,"Euryarchaeota","Methanomicrobia",GCA_000243255.1 ,3.20095,42.2,chromosome:NZ_CM001436.1/CM001436.1,AHKP01,1,3053,2950,2012/01/19,2015/08/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000243255.1_ASM24325v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000243255.1_ASM24325v1
"Myroides odoratus DSM 2801","DSM 2801",20660,SAMN02256523 ,PRJNA61389,"Bacteroidetes/Chlorobi group","Bacteroidetes",GCA_000243275.1 ,4.30184,35.8,chromosome:NZ_CM001437.1/CM001437.1,AHKQ01,1,3838,3695,2012/01/19,2015/08/13,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000243275.1_ASM24327v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000243275.1_ASM24327v1
"Enterococcus durans","KLDS6.0933",23587,SAMN03956931 ,PRJNA291957,"Firmicutes","Bacilli",GCA_001267395.1 ,3.0718,37.8306,chromosome:NZ_CP012366.1/CP012366.1; plasmid unnamed 1:NZ_CP012367.1/CP012367.1; plasmid unnamed 2:NZ_CP012368.1/CP012368.1,-,3,2937,2595,2015/08/13,2015/08/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001267395.1_ASM126739v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001267395.1_ASM126739v1
"Campylobacter insulaenigrae NCTC 12927","NCTC 12927",19267,SAMN03248541 ,PRJNA66785,"Proteobacteria","delta/epsilon subdivisions",GCA_000816185.1 ,1.46508,28.2,chromosome:NZ_CP007770.1/CP007770.1,-,1,1514,1436,2015/01/07,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000816185.1_ASM81618v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000816185.1_ASM81618v1
"Campylobacter volucris LMG 24379","LMG 24379",19267,SAMN03248550 ,PRJNA66783,"Proteobacteria","delta/epsilon subdivisions",GCA_000816345.1 ,1.51795,28.6,chromosome:NZ_CP007774.1/CP007774.1,-,1,1555,1486,2015/01/07,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000816345.1_ASM81634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000816345.1_ASM81634v1
"Pseudomonas synxantha BG33R","BG33R",21655,SAMN02436586 ,PRJNA67541,"Proteobacteria","Gammaproteobacteria",GCA_000263715.2 ,6.29749,59.7,chromosome:NZ_CM001514.1/CM001514.1,AHPP01,1,5570,5415,2012/05/21,2015/08/14,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000263715.2_ASM26371v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000263715.2_ASM26371v2
"Rhodococcus pyridinivorans SB3094","SB3094",20859,SAMN02641478 ,PRJNA231235,"Actinobacteria","Actinobacteria",GCA_000511305.1 ,5.59051,67.8052,chromosome:NC_023150.1/CP006996.1; plasmid unnamed:NC_023144.1/CP006997.1; plasmid unnamed2:NC_023145.1/CP006998.1,-,3,5094,4916,2013/12/20,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000511305.1_ASM51130v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000511305.1_ASM51130v1
"Flavobacterium columnare ATCC 49512","ATCC 49512",20663,SAMN02603612 ,PRJNA67781,"Bacteroidetes/Chlorobi group","Bacteroidetes",GCA_000240075.2 ,3.16243,31.5,chromosome:NC_016510.2/CP003222.2,-,1,2772,2632,2011/12/23,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000240075.2_ASM24007v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000240075.2_ASM24007v2
"Oenococcus kitaharae DSM 17330","DSM 17330",20044,SAMN02471115 ,PRJNA67967,"Firmicutes","Bacilli",GCA_000241055.1 ,1.84224,42.677,chromosome:NZ_CM001398.1/CM001398.1; plasmid unnamed:NZ_CM001399.1/CM001399.1,AFVZ01,2,1857,1784,2012/01/03,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000241055.1_ASM24105v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000241055.1_ASM24105v1
"Pseudoxanthomonas spadix BD-a59","BD-a59",19484,SAMN02603133 ,PRJNA67981,"Proteobacteria","Gammaproteobacteria",GCA_000233915.4 ,3.45255,67.7,chromosome:NC_016147.2/CP003093.2,-,1,3104,2994,2011/11/02,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000233915.3_ASM23391v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000233915.4_ASM23391v4
"Candidatus Mycoplasma haemolamae str. Purdue","Purdue",-,SAMN02603732 ,PRJNA68151,"Tenericutes","Mollicutes",GCA_000281235.1 ,0.756845,39.3,chromosome:CP003731.1,-,1,961,925,2012/07/24,2014/01/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000281235.1_ASM28123v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000281235.1_ASM28123v1
"Leptospirillum ferriphilum ML-04","ML-04",22046,SAMN02603870 ,PRJNA68175,"Nitrospirae","Nitrospira",GCA_000299235.1 ,2.40616,54.6,chromosome:NC_018649.1/CP002919.1,-,1,2462,2361,2012/09/25,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000299235.1_ASM29923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000299235.1_ASM29923v1
"Caldisphaera lagunensis DSM 15908","DSM 15908",22006,SAMN02261426 ,PRJNA70815,"Crenarchaeota","Thermoprotei",GCA_000317795.1 ,1.54685,30,chromosome:NC_019791.1/CP003378.1,-,1,1544,1484,2012/12/10,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317795.1_ASM31779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317795.1_ASM31779v1
"Enterococcus mundtii QU 25","QU25",21387,-,PRJDB868,"Firmicutes","Bacilli",GCA_000504125.1 ,3.35106,38.3228,chromosome:NC_022878.1/AP013036.1; plasmid pQY003:NC_022881.1/AP013041.1; plasmid pQY024:NC_022884.1/AP013040.1; plasmid pQY039:NC_022880.1/AP013039.1; plasmid pQY082:NC_022883.1/AP013038.1; plasmid pQY182:NC_022879.1/AP013037.1,-,6,3170,2978,2013/11/20,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000504125.1_ASM50412v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000504125.1_ASM50412v1
"Halostagnicola larsenii XH-48","XH-48",25083,SAMN00117518 ,PRJNA71415,"Euryarchaeota","Halobacteria",GCA_000517625.1 ,4.13118,60.8653,chromosome:NZ_CP007055.1/CP007055.1; plasmid unnamed:NZ_CP007056.1/CP007056.1; plasmid unnamed2:NZ_CP007057.1/CP007057.1; plasmid unnamed3:NZ_CP007058.1/CP007058.1; plasmid unnamed4:NZ_CP007059.1/CP007059.1,-,5,3954,3800,2014/01/13,2015/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000517625.1_ASM51762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000517625.1_ASM51762v1
"Streptococcus lutetiensis 033","033",20118,SAMN02603123 ,PRJNA72209,"Firmicutes","Bacilli",GCA_000441535.1 ,1.97555,37.7,chromosome:NC_021900.1/CP003025.1,-,1,1985,1774,2013/07/26,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000441535.1_ASM44153v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000441535.1_ASM44153v1
"Thermoplasmatales archaeon BRNA1","BRNA1",22035,SAMN02603168 ,PRJNA68695,"Euryarchaeota","Thermoplasmata",GCA_000350305.1 ,1.46111,58.3,chromosome:NC_020892.1/CP002916.1,-,1,1522,1465,2013/04/02,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000350305.1_ASM35030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000350305.1_ASM35030v1
"Leuconostoc carnosum JB16","JB16",21277,SAMN02603179 ,PRJNA174298,"Firmicutes","Bacilli",GCA_000300135.1 ,1.77347,37.091,chromosome:NC_018673.1/CP003851.1; plasmid pKLC1:NC_018674.1/CP003852.1; plasmid pKLC2:NC_018698.1/CP003853.1; plasmid pKLC3:NC_018675.1/CP003854.1; plasmid pKLC4:NC_018699.1/CP003855.1,-,5,1744,1647,2012/09/28,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000300135.1_ASM30013v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000300135.1_ASM30013v1
"[Clostridium] clariflavum DSM 19732","DSM 19732",20218,SAMN02261428 ,PRJNA72805,"Firmicutes","Clostridia",GCA_000237085.1 ,4.89768,35.7,chromosome:NC_016627.1/CP003065.1,-,1,4154,3912,2011/12/12,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000237085.1_ASM23708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000237085.1_ASM23708v1
"Pelagibacterium halotolerans B2","B2",19896,SAMN02604343 ,PRJNA72927,"Proteobacteria","Alphaproteobacteria",GCA_000230555.1 ,3.94889,61.3946,chromosome:NC_016078.1/CP003075.1; plasmid pPHB2:NC_016079.1/CP003076.1,-,2,3850,3752,2011/10/14,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000230555.1_ASM23055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000230555.1_ASM23055v1
"Methanocella conradii HZ254","HZ254",20475,SAMN02603117 ,PRJNA73221,"Euryarchaeota","Methanomicrobia",GCA_000251105.1 ,2.37844,52.7,chromosome:NC_017034.1/CP003243.1,-,1,2504,2428,2012/03/07,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000251105.1_ASM25110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000251105.1_ASM25110v1
"Exiguobacterium antarcticum B7","Eab7",19997,SAMN02603748 ,PRJNA73211,"Firmicutes","Bacilli",GCA_000299435.1 ,2.81586,47.5,chromosome:NC_018665.1/CP003063.1,-,1,2900,2736,2012/09/27,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000299435.1_ASM29943v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000299435.1_ASM29943v1
"Mycoplasma wenyonii str. Massachusetts","Massachusetts",-,SAMN02603734 ,PRJNA168067,"Tenericutes","Mollicutes",GCA_000277795.1 ,0.650228,33.9,chromosome:NC_018149.1/CP003703.1,-,1,714,678,2012/07/16,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000277795.1_ASM27779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277795.1_ASM27779v1
"Carnobacterium maltaromaticum LMA28","LMA28",20142,SAMEA2272423 ,PRJEB544,"Firmicutes","Bacilli",GCA_000317975.2 ,3.65042,34.5,chromosome:NC_019425.2/HE999757.2,-,1,3456,3272,2012/11/09,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317975.2_ASM31797v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317975.2_ASM31797v2
"Piscirickettsia salmonis LF-89 = ATCC VR-1361","ATCC VR-1361",21216,SAMN02469424 ,PRJNA173790,"Proteobacteria","Gammaproteobacteria",GCA_000300295.2 ,3.45006,39.658,chromosome:NZ_CP011849.1/CP011849.1; plasmid pPSLF89-1:NZ_CP011850.1/CP011850.1; plasmid pPSLF89-2:NZ_CP011851.1/CP011851.1; plasmid pPSLF89-3:NZ_CP011852.1/CP011852.1,-,4,3457,3154,2015/07/09,2015/08/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000300295.2_ASM30029v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000300295.2_ASM30029v2
"Francisella noatunensis subsp. orientalis LADL--07-285A","LADL--07-285A",22582,SAMN02641525 ,PRJNA210898,"Proteobacteria","Gammaproteobacteria",GCA_000505725.1 ,1.85899,32.3,chromosome:NC_023029.1/CP006875.1,-,1,1867,1426,2013/12/11,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000505725.1_ASM50572v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000505725.1_ASM50572v1
"Methylomicrobium alcaliphilum 20Z","20Z",21619,SAMEA3283107 ,PRJEA73721,"Proteobacteria","Gammaproteobacteria",GCA_000968535.1 ,4.79671,48.7,chromosome:NC_016112.1/FO082060.1; plasmid MEALZ_p:NC_016108.1/FO082061.1,-,2,4102,3968,2011/10/14,2015/08/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000968535.2_ASM96853v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000968535.1_ASM96853v1
"Streptomyces xiamenensis","318",21439,SAMN03332981 ,PRJNA73797,"Actinobacteria","Actinobacteria",GCA_000993785.2 ,5.9614,72,chromosome:NZ_CP009922.2/CP009922.2,-,1,5340,5091,2015/05/07,2015/08/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000993785.2_ASM99378v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000993785.2_ASM99378v2
"Methanolobus psychrophilus R15","R15",21320,SAMN00739943 ,PRJNA74005,"Euryarchaeota","Methanomicrobia",GCA_000306725.1 ,3.07277,44.6,chromosome:NC_018876.1/CP003083.1,-,1,2961,2840,2012/10/18,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000306725.1_ASM30672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306725.1_ASM30672v1
"Xanthomonas arboricola pv. juglandis","Xaj 417",19490,SAMN03944872 ,PRJNA291479,"Proteobacteria","Gammaproteobacteria",GCA_001237985.1 ,5.21894,65.4,chromosome:NZ_CP012251.1/CP012251.1,-,1,4358,4188,2015/08/05,2015/10/05,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001237985.1_ASM123798v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001237985.1_ASM123798v1
"Leisingera methylohalidivorans DSM 14336","DSM 14336; MB2",23520,SAMN02769646 ,PRJNA74371,"Proteobacteria","Alphaproteobacteria",GCA_000511355.1 ,4.651,62.3557,chromosome:NC_023135.1/CP006773.1; plasmid unnamed:NC_023146.1/CP006774.1; plasmid unnamed2:NC_023136.1/CP006775.1,-,3,4491,4268,2013/12/20,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000511355.1_ASM51135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000511355.1_ASM51135v1
"Thermocrinis ruber","DSM 23557",25112,SAMN02769647 ,PRJNA75073,"Aquificae","Aquificae",GCA_000512735.1 ,1.52104,45.2,chromosome:NZ_CP007028.1/CP007028.1,-,1,1653,1592,2014/01/03,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000512735.1_ASM51273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000512735.1_ASM51273v1
"Rickettsia philipii str. 364D","364D",21093,SAMN02603554 ,PRJNA75027,"Proteobacteria","Alphaproteobacteria",GCA_000283995.1 ,1.28774,32.5,chromosome:NC_016930.1/CP003308.1,-,1,1349,1218,2012/02/17,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000283995.1_ASM28399v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283995.1_ASM28399v1
"Rickettsia parkeri str. Portsmouth","Portsmouth",21093,SAMN02603556 ,PRJNA75031,"Proteobacteria","Alphaproteobacteria",GCA_000284195.1 ,1.30039,32.4,chromosome:NC_017044.1/CP003341.1,-,1,1391,1228,2012/03/01,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284195.1_ASM28419v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284195.1_ASM28419v1
"Flavobacterium indicum GPTSA100-9 = DSM 17447","GPTSA100-9",33008,SAMEA3138809 ,PRJNA73387,"Bacteroidetes/Chlorobi group","Bacteroidetes",GCA_000455605.1 ,2.99309,31.4,chromosome I:NC_017025.1/HE774682.1,-,1,2769,2671,2012/03/15,2015/08/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000455605.1_GPTSA100-9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000455605.1_GPTSA100-9
"Thermoproteus tenax Kra 1","Kra 1",20398,SAMEA2272453 ,PRJEA49419,"Crenarchaeota","Thermoprotei",GCA_000253055.1 ,1.84154,55.1,chromosome:NC_016070.1/FN869859.1,-,1,2047,1959,2011/10/06,2015/08/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000253055.1_ASM25305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000253055.1_ASM25305v1
"Fluoribacter dumoffii NY 23","NY 23",19357,SAMN02469353 ,PRJNA74015,"Proteobacteria","Gammaproteobacteria",GCA_000236165.1 ,3.90967,39.635,chromosome:NZ_CM001373.1/CM001373.1; plasmid pLDNY1:NZ_CM001374.1/CM001374.1; plasmid pLDNY2:NZ_CM001375.1/CM001375.1,AGVU01,3,3460,3359,2011/11/23,2015/08/13,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000236165.1_ASM23616v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000236165.1_ASM23616v1
"Paenibacillus peoriae","HS311",19970,SAMN03699894 ,PRJNA284101,"Firmicutes","Bacilli",GCA_001272655.1 ,6.00653,45.7,chromosome:NZ_CP011512.1/CP011512.1,-,1,5182,4963,2015/08/21,2015/08/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001272655.1_ASM127265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001272655.1_ASM127265v1
"Rickettsia australis str. Cutlack","Cutlack",19245,SAMN02603558 ,PRJNA75037,"Proteobacteria","Alphaproteobacteria",GCA_000284155.1 ,1.32328,32.3282,chromosome:NC_017058.1/CP003338.1; plasmid pMC5_1:NC_017041.1/CP003339.1,-,2,1361,1157,2012/03/01,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284155.1_ASM28415v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284155.1_ASM28415v1
"Rickettsia montanensis str. OSU 85-930","OSU 85-930",19239,SAMN02603562 ,PRJNA75045,"Proteobacteria","Alphaproteobacteria",GCA_000284175.1 ,1.2798,32.6,chromosome:NC_017043.1/CP003340.1,-,1,1374,1125,2012/03/01,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284175.1_ASM28417v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284175.1_ASM28417v1
"Rickettsia rhipicephali str. 3-7-female6-CWPP","3-7-female6-CWPP",19241,SAMN02603560 ,PRJNA75041,"Proteobacteria","Alphaproteobacteria",GCA_000284075.1 ,1.30547,32.3884,chromosome:NC_017042.1/CP003342.1; plasmid pMCC_1:NC_017055.1/CP003343.1,-,2,1416,1117,2012/03/01,2015/08/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000284075.1_ASM28407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000284075.1_ASM28407v1
"Bartonella vinsonii subsp. berkhoffii str. Winnie","Winnie",21153,SAMN02604271 ,PRJNA73951,"Proteobacteria","Alphaproteobacteria",GCA_000341385.1 ,1.8027,38.8,chromosome:NC_020301.1/CP003124.1,-,1,1640,1482,2013/02/20,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000341385.1_ASM34138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000341385.1_ASM34138v1
"Bartonella birtlesii IBS 325","IBS 325",21150,SAMN02472046 ,PRJNA86617,"Proteobacteria","Alphaproteobacteria",GCA_000273375.1 ,1.83401,37.9,chromosome:NZ_CM001557.1/CM001557.1,AKIP01,1,1590,1415,2012/06/18,2015/08/13,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000273375.1_ASM27337v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000273375.1_ASM27337v1
"Bartonella australis Aust/NH1","Aust/NH1",21795,SAMN02604270 ,PRJNA73943,"Proteobacteria","Alphaproteobacteria",GCA_000341355.1 ,1.59649,41.8,chromosome:NC_020300.1/CP003123.1,-,1,1400,1328,2013/02/20,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000341355.1_ASM34135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000341355.1_ASM34135v1
"Bartonella bovis 91-4","91-4",21796,SAMN02472039 ,PRJNA73945,"Proteobacteria","Alphaproteobacteria",GCA_000384965.1 ,1.62467,37.4,chromosome:NZ_CM001844.1/CM001844.1,AGWA01,1,1413,1322,2013/04/10,2015/08/14,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000384965.1_BBbMcIrM01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000384965.1_BBbMcIrM01
"Thermoanaerobacterium saccharolyticum JW/SL-YS485","JW/SL-YS485",20209,SAMN02603686 ,PRJNA73961,"Firmicutes","Clostridia",GCA_000307585.1 ,2.87935,35.0792,chromosome:CP003184.1;  Unknown:NC_018264.1/CP003186.1; plasmid pMU3262:CP003185.1,-,3,2931,2840,2012/06/01,2014/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000307585.1_ASM30758v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000307585.1_ASM30758v1
"Methanosaeta harundinacea 6Ac","6Ac",20477,SAMN02603883 ,PRJNA76151,"Euryarchaeota","Methanomicrobia",GCA_000235565.1 ,2.57103,60.5692,chromosome:NC_017527.1/CP003117.1; plasmid pH6Ac:NC_016637.1/CP003118.1,-,2,2458,2362,2011/11/16,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000235565.1_ASM23556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000235565.1_ASM23556v1
"Tistrella mobilis KA081020-065","KA081020-065",21157,SAMN02603926 ,PRJNA76349,"Proteobacteria","Alphaproteobacteria",GCA_000264455.2 ,6.51298,68.058,chromosome:NC_017956.1/CP003236.1; plasmid pTM1:NC_017957.2/CP003237.2; plasmid pTM2:NC_017966.1/CP003238.1; plasmid pTM3:NC_017958.1/CP003239.1; plasmid pTM4:NC_017959.1/CP003240.1,-,5,5775,5562,2012/05/25,2015/08/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000264455.2_ASM26445v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000264455.2_ASM26445v2
"Mycoplasma haemocanis str. Illinois","Illinois",23812,SAMN02603733 ,PRJNA76583,"Tenericutes","Mollicutes",GCA_000238995.1 ,0.919992,35.3,chromosome:NC_016638.1/CP003199.1,-,1,1182,1130,2011/12/20,2015/08/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000238995.1_ASM23899v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000238995.1_ASM23899v1
